Organization,City,State,Zip
USGS NGTOC,Rolla,Missouri,65401
"Douglas County, KS",Lawrence,Kansas,66044
"Douglas County, KS",Lawrence,Kansas,66044
City of Springfield,Springfield,Missouri,65802
USGS,Denver,Colorado,80225-0046
Mid-America Regional Council,Kansas City,Missouri,64105
"Community Association Atlas, LLC",Lakeville,Minnesota,55044
USGS National Technical Geospatial Operations Center,Denver,Colorado,80225-0046
Enel Green Power,Lenexa,Kansas,66219
State of South Dakota,Pierre,South Dakota,57501
U.S. Geological Survey,Rolla,Missouri,65401
Missouri Department of Conservation,Jefferson City,Missouri,65109
Whiting Oil & Gas,Watford City,North Dakota,58854
Arkansas State University,State University,Arkansas,72467
Carroll County Iowa,Carroll,Iowa,51401
Missouri Department of Conservation,Columbia,Missouri,65201
Emmet County Public Health,Estherville,Iowa,50575